,subjectID,valence,arousal,dominance,zEMG,tEMG,GSR,Respiration belt,Plethysmograph,Temperature
0,01,pos,high,strong,19.52568006731057,-15.428395661318634,1716.5041729562247,441.8551638459926,-209.92910619524756,-0.04233626300936107
1,01,pos,high,strong,1.3044758262638854,-182.56275558304836,-4327.190363758494,990.629959000497,4484.697932504812,-0.01686300314408737
2,01,pos,high,strong,-15.389395237406104,-112.10624591893362,-43738.21400826051,597.245885372697,10739.267212095392,-0.029897310313409965
3,01,pos,high,strong,240.60141244819607,41.61180152210235,9473.42127166264,-31.355321682596493,-2767.5650634356953,-0.016428732915468713
4,01,pos,high,strong,-7.129090714863409,-221.3575902739504,5486.095309569975,-597.1371887419398,-12165.254216543133,-0.04121512162271607
5,01,pos,high,strong,166.41239092461043,336.322020085893,17341.615912370235,-186.14341225439017,-11521.665956871888,0.015578793410803801
6,01,pos,high,strong,7.711213895216375,3.838240055765341,10618.9488091516,5312.27386791496,18336.174935438146,0.03674010456636753
7,01,pos,high,strong,14.698583176787293,41.4294598141549,-534.8301322762156,-848.5108407103559,-2259.9178324295026,-0.01116776362929791
8,01,pos,high,strong,-48.93689416899094,-68.85022232951872,18226.925477136756,-1109.2389985834545,21689.59672045309,0.03011159328168662
9,01,pos,high,strong,125.4040690351988,311.0813091908581,14029.8708679182,672.3049023435464,4797.441255412624,-0.03655124289912614
10,01,pos,high,strong,3.2968650329888805,457.88064886781547,24407.301048488294,-323.29647139216894,21454.09548348556,0.13675209174548603
11,01,pos,high,strong,3.6846991377833764,131.61065866449815,5575.941450673879,-664.6644348453767,5996.720311393968,0.009699652483340638
12,01,pos,high,strong,-11.972793012480787,-102.98763367557358,4836.703699698937,-1131.184499173428,11340.361056176183,-0.03976499139708034
13,01,pos,high,strong,-87.28909884944008,83.20693950855183,18316.558881070105,1467.8518923500696,19887.94967031979,0.06776934481843319
14,01,pos,high,strong,-61.55377546306943,126.65646937483493,15496.914009099672,1330.1288782881995,-2834.0444776564987,0.05102179158380162
15,01,pos,high,strong,-37.0464887771119,-221.82272380815562,7583.763440320309,59.95673445315308,37950.93467210148,-0.06773499506019201
16,01,pos,high,strong,-53.83971714105529,-7.7088771249694235,8330.514791674228,-269.87898499377616,-951.4647083492732,0.05883394345406307
17,01,pos,high,strong,-99.84528999648795,-504.4016791351191,13241.075365902843,267.3635041506796,10005.499547622541,0.004992371537785999
18,01,pos,high,strong,-14.25096960654833,-2.560088740559619,-8717.324594425414,4826.245821744602,4953.842858757389,-0.10141313489789804
19,01,pos,high,strong,33.402859441879414,143.44052116843332,13800.57506471508,-315.03798048236143,-2340.724486857492,0.041001334680030234
20,01,pos,high,strong,-49.20895932849917,35.3261763556451,-5204.767502269101,502.0789450217756,2550.4481474797994,-0.029353542480238443
21,01,pos,high,strong,79.65807918847888,78.34142735545387,10501.743336574229,-64.20730013592976,-12924.506880582963,0.04141613591214703
22,01,pos,high,strong,49.908626314428645,137.0402547517518,-45.28266046600812,-10.828391760208591,6728.847317675138,-0.0451531911958281
23,01,pos,high,strong,-200.90823104783593,31.480759353793935,39431.376662969065,-982.7009914463655,38297.536309457086,-0.0026134337702889516
24,01,pos,high,strong,-90.93644066538435,201.3352283368072,5605.842391113022,-1495.223144788268,10769.85607792653,0.09309788927658602
25,01,pos,high,strong,165.65689334364916,-50.170127567340124,-85670.88658759742,-83.98230932460034,16241.845992597951,-0.22559656330824937
26,01,pos,high,strong,28.082231252246856,189.28306651635498,648.2359199665531,175.7014323855469,-8806.922506369334,0.014261721995538131
27,01,pos,high,strong,77.57962475760503,-13.520126307883013,13509.5485311787,140.90981062878512,10099.919741412468,0.002133777218769078
